,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,19.395,2.607,14.186,24.395,0.037,0.028,5039.0,5582.0,1.0
economic_coef,0.567,0.13,0.308,0.814,0.002,0.001,4938.0,5260.0,1.0
pressure_coef,-11.004,2.548,-15.956,-5.988,0.034,0.026,5482.0,5784.0,1.0
travel_speed_coef,0.099,0.318,-0.512,0.713,0.003,0.003,9079.0,6723.0,1.0
trend_coef,0.018,0.011,-0.004,0.039,0.0,0.0,4958.0,5641.0,1.0
water_level_coef,0.0,0.004,-0.008,0.009,0.0,0.0,9083.0,6223.0,1.0
sigma,2.247,0.11,2.039,2.465,0.001,0.001,7640.0,5653.0,1.0
