,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,8.695,2.77,3.319,14.163,0.036,0.03,5856.0,6276.0,1.0
economic_coef,0.519,0.112,0.3,0.739,0.001,0.001,5802.0,5990.0,1.0
pressure_coef,-3.244,2.574,-8.196,1.823,0.033,0.027,5979.0,6424.0,1.0
wind_coef,-0.391,0.959,-2.245,1.49,0.013,0.01,5571.0,6178.0,1.0
travel_speed_coef,-0.002,0.258,-0.511,0.484,0.003,0.003,9524.0,6357.0,1.0
trend_coef,0.033,0.01,0.015,0.052,0.0,0.0,5815.0,6176.0,1.0
ib_coef,2.424,0.461,1.524,3.345,0.006,0.005,5429.0,5927.0,1.0
sigma,1.842,0.085,1.679,2.006,0.001,0.001,8320.0,6291.0,1.0
