,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.822,1.132,3.531,7.932,0.016,0.011,5314.0,6106.0,1.0
economic_coef,0.504,0.107,0.291,0.707,0.002,0.001,4844.0,5602.0,1.0
pressure_coef,2.564,0.445,1.698,3.418,0.006,0.004,5711.0,5927.0,1.0
wind_coef,-0.451,0.943,-2.297,1.374,0.013,0.009,5566.0,6281.0,1.0
trend_coef,0.028,0.011,0.006,0.05,0.0,0.0,4604.0,5459.0,1.0
temp_anomaly_coef,0.886,0.874,-0.774,2.592,0.011,0.009,6259.0,6067.0,1.0
sigma,1.838,0.084,1.679,2.006,0.001,0.001,8378.0,6231.0,1.0
