,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
economic_pressure_trend,0,-492.66879136514245,5.926092732706536,0.0,0.7942521812256992,14.278202161858607,0.0,False,log
economic_pressure_trend_wind,1,-493.5905941790128,6.893013529939083,0.9218028138702863,0.0,14.42616930947318,0.516760833732069,False,log
economic_pressure_trend_travel_speed,2,-493.72127821349363,6.842432390580711,1.052486848351176,0.0,14.253410856805557,0.5148112515437087,False,log
economic_pressure_trend_tides,3,-493.7519361442205,6.9660197917392,1.0831447790781006,0.0,14.345240154956057,0.23113126770581505,False,log
economic_modelled_wind_trend_inverse_barometer,4,-494.2192692573617,7.536364393542044,1.5504778922192397,0.0,14.451725274590935,0.5403465089039793,False,log
economic_modelled_wind_trend,5,-495.8141606103401,6.884933602311094,3.1453692451975996,0.007176515058148492,14.271879436974634,2.4075029965502046,False,log
economic_raw_pressure_trend,6,-499.54979711304395,4.587077056980718,6.881005747901499,0.1360611566041569,13.605235809057975,4.646928214444442,False,log
economic_trend_wind,7,-506.199037858649,5.276903963436553,13.530246493506615,0.06251014711199532,12.17221216918551,5.630594991466957,False,log
