,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
economic_trend_inverse_barometer,0,-492.7236272208814,5.949401280661448,0.0,0.9211085713687422,14.276716355224586,0.0,False,log
economic_wind_inverse_barometer_trend,1,-493.6493536821614,6.9335255436076295,0.925726461279984,3.6234731553527046e-12,14.418883380226518,0.5347942884800483,False,log
economic_pca_trend,2,-493.664402410333,7.01975056104726,0.9407751894516192,1.7634004628982224e-11,14.419833625503975,0.48735899518762266,False,log
economic_wind_pressure_travel_speed_trend_inverse_barometer,3,-494.6444628890059,7.877629350707423,1.9208356681245888,2.2121923777174832e-12,14.396007161517883,0.6398576489532318,False,log
economic_modelled_wind_pressure_travel_speed_trend_inverse_barometer,4,-495.22915405934907,8.617941804039333,2.505526838467704,2.2211979286265657e-12,14.503166298414046,0.8101282888415074,False,log
economic_modelled_wind_pressure_trend,5,-495.355292842744,6.842433688773156,2.6316656218626377,0.0,14.312876776641763,2.255306933170624,False,log
economic_modelled_wind_travel_speed_trend,6,-496.31886797056427,8.206124932757348,3.595240749682871,0.0,14.57948259059891,2.4094058744514566,False,log
economic_pressure_inverse_barometer,7,-497.04198747528176,4.574600473959038,4.31836025440038,2.1813762904172762e-12,13.272327510103583,3.9211125533305946,False,log
economic_inverse_barometer,8,-497.1250242323367,4.606990486557322,4.401397011455341,2.1767205003526143e-12,13.225382104605771,3.9361441618321873,False,log
economic_pca,9,-498.0979085029269,5.765291214088336,5.3742812820454535,2.1836707864075082e-12,13.37890949544913,3.842494777218216,False,log
economic_tides_inverse_barometer,10,-498.2465963097805,5.647214986641302,5.522969088899158,2.2197270357896467e-12,13.206952167876276,3.899436117220576,False,log
economic_modelled_wind_pressure,11,-499.1348514954316,5.470739915956756,6.411224274550193,2.20380207142861e-12,13.404059053481689,4.3847665451520825,False,log
economic_pca_travel_speed,12,-499.2569331748385,6.892659418133121,6.533305953957155,2.227012016897189e-12,13.386402296839345,3.909284125119329,False,log
economic_modelled_wind,13,-499.5495147214098,5.5243102223511755,6.825887500528459,2.198675780964449e-12,13.349980568653033,4.483068954440772,False,log
economic_modelled_wind_travel_speed,14,-500.11713523100104,7.1567466093617895,7.393508010119735,2.2051570098515407e-12,13.684446744762399,4.4141133485304245,False,log
economic_wind_pressure_trend,15,-504.1700914258202,5.473511700795143,11.446464204938843,2.3833649590472634e-12,12.38522968003377,5.134069096086763,False,log
economic_wind_pressure,16,-507.5002940407045,4.140027376562728,14.776666819823093,2.2789517699611816e-12,12.026115966843927,6.939056004511639,False,log
economic_wind_pressure_travel_speed,17,-508.7940601195779,5.44485592992487,16.070432898696485,2.3096623906688617e-12,12.026376174089734,6.982415391669651,False,log
economic_wind,18,-509.81055397189306,4.271598994078829,17.08692675101168,2.2935273237164345e-12,11.918904594146142,7.381711788969349,False,log
economic_wind_travel_speed,19,-510.71901477328373,5.165573747092083,17.99538755240239,2.3104351239252416e-12,11.90009317518953,7.4233876267019,False,log
wind_pressure_trend,20,-515.7863548268332,4.312875651928607,23.06272760595177,2.443869744016414e-12,12.379331822699376,6.997045152734759,False,log
economic_multi_variate_trend,21,-533.0393461176419,4.231139918119084,40.31571889676045,2.1955494002060188e-12,11.191835018154299,9.657126095448639,False,log
economic_multi_variate,22,-534.5124477154095,3.3223276844901193,41.7888204945282,0.04275852228290322,11.361525035319096,10.453760133743803,False,log
economic_multi_variate_travel_speed,23,-535.36227457009,4.010118906814569,42.63864734920859,2.07646647102639e-12,11.32673771852835,10.442949372252631,False,log
economic_pressure,24,-539.9149940928025,3.1468699807453504,47.191366871921225,0.0,11.302006448438705,10.697922173051676,False,log
economic_pressure_tides_trend,25,-540.7091269902578,5.038457534313807,47.98549976937635,2.1832538536898607e-12,11.207895104054527,10.202121438336869,False,log
economic_water_level_pressure_travel_speed_trend,26,-541.4737243123111,5.59100088847083,48.75009709142974,2.2127980680789654e-12,11.123445484247132,10.186367861623495,False,log
economic,27,-554.6757841759326,2.926061060063944,61.95215695505126,2.0380215899926094e-12,10.999661790458713,11.762975292712126,False,log
economic_trend,28,-554.7081548247284,3.751113511203471,61.98452760384692,2.1750849309896516e-12,10.770783993931984,11.305862983929563,False,log
economic_travel_speed,29,-555.4776839636029,3.5747642877067847,62.754056742721474,2.0768298589431905e-12,10.94154454595859,11.753321698074352,False,log
economic_tides,30,-555.6137075144668,3.7708561249536388,62.89008029358556,2.0712409063391258e-12,10.9629793355966,11.751502106232952,False,log
economic_water_level,31,-555.6316364471994,3.799657159679896,62.908009226318086,2.0700933184298405e-12,10.969876448029359,11.756377009063783,False,log
economic_tides_trend,32,-555.6482057845232,4.639881516916489,62.92457856364184,2.2075448000853184e-12,10.801851057769642,11.314513475559796,False,log
economic_water_level_trend,33,-555.67522654554,4.6617909466501715,62.95159932465856,2.2118639998280253e-12,10.771422284940972,11.32368444878969,False,log
raw_economic_trend,34,-558.5559307844123,2.950065064681098,65.83230356353094,2.0217360862450596e-12,11.207013074676919,11.995139907252252,False,log
water_level_trend,35,-562.3999577606605,3.9086497359970735,69.67633053977909,2.4440144071514263e-12,10.319618302863352,11.372547851090356,False,log
modelled_wind_pressure,36,-600.5704713795901,3.50593558074695,107.84684415870873,2.0789027149202936e-12,9.601459137011362,13.908447732519289,False,log
wind_pressure,37,-604.6274803592958,2.7398938353335325,111.90385313841438,0.0361329062609842,9.751197757836186,14.581298424351548,False,log
