,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,8.03,2.669,2.635,13.045,0.04,0.027,4427.0,5020.0,1.0
economic_coef,0.875,0.052,0.773,0.978,0.001,0.001,7713.0,6484.0,1.0
pressure_coef,-6.36,2.451,-11.428,-1.856,0.035,0.023,5028.0,5764.0,1.0
wind_coef,3.928,0.442,3.032,4.769,0.006,0.004,6385.0,7121.0,1.0
travel_speed_coef,0.072,0.276,-0.494,0.581,0.003,0.003,8853.0,6632.0,1.0
sigma,1.963,0.09,1.79,2.14,0.001,0.001,8258.0,6963.0,1.0
