,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.358,1.175,5.089,9.674,0.02,0.015,3538.0,3817.0,1.0
economic_coef,0.528,0.108,0.317,0.741,0.002,0.001,3541.0,4307.0,1.0
pressure_coef,0.882,0.515,-0.11,1.909,0.009,0.006,3166.0,3687.0,1.0
trend_coef,0.003,0.014,-0.025,0.029,0.0,0.0,3197.0,3855.0,1.0
pressure_trend_interaction_coef,0.021,0.007,0.007,0.033,0.0,0.0,3223.0,3793.0,1.0
sigma,1.809,0.082,1.657,1.979,0.001,0.001,5875.0,5446.0,1.0
