,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,19.347,2.654,13.888,24.306,0.036,0.027,5472.0,5718.0,1.0
economic_coef,0.571,0.133,0.32,0.836,0.002,0.001,5682.0,5787.0,1.0
pressure_coef,-10.997,2.556,-15.921,-5.986,0.033,0.026,5833.0,5932.0,1.0
tides_coef,-0.0,0.004,-0.008,0.009,0.0,0.0,9218.0,6029.0,1.0
travel_speed_coef,0.1,0.32,-0.507,0.738,0.003,0.004,9140.0,6118.0,1.0
trend_coef,0.018,0.011,-0.003,0.04,0.0,0.0,5715.0,5860.0,1.0
sigma,2.246,0.108,2.036,2.459,0.001,0.001,8195.0,6261.0,1.0
