,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,13.349,0.407,12.477,14.094,0.006,0.005,4684.0,5342.0,1.0
trend_coef,0.059,0.005,0.048,0.069,0.0,0.0,4884.0,5042.0,1.0
water_level_coef,0.001,0.005,-0.008,0.01,0.0,0.0,7517.0,5845.0,1.0
sigma,2.459,0.112,2.249,2.683,0.001,0.001,7355.0,5834.0,1.0
