,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,8.7,2.771,3.105,13.871,0.038,0.031,5196.0,5584.0,1.0
economic_coef,0.519,0.109,0.295,0.724,0.001,0.001,5580.0,5648.0,1.0
pressure_coef,-3.25,2.569,-8.42,1.568,0.036,0.03,5163.0,5185.0,1.0
wind_coef,-0.385,0.976,-2.328,1.475,0.013,0.01,5513.0,5770.0,1.0
trend_coef,0.033,0.009,0.014,0.051,0.0,0.0,5771.0,5592.0,1.0
ib_coef,2.419,0.465,1.515,3.321,0.006,0.005,5457.0,5894.0,1.0
sigma,1.837,0.084,1.682,2.009,0.001,0.001,7492.0,6599.0,1.0
