,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.348,0.462,8.459,10.248,0.007,0.005,4202.0,5249.0,1.0
pressure_coef,2.368,0.197,1.975,2.744,0.003,0.002,5767.0,6516.0,1.0
tides_coef,-0.008,0.368,-0.789,0.664,0.004,0.004,6862.0,6373.0,1.0
trend_coef,0.073,0.004,0.065,0.082,0.0,0.0,5031.0,5862.0,1.0
sigma,1.93,0.089,1.756,2.105,0.001,0.001,6588.0,6065.0,1.0
