,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,10.115,2.763,4.723,15.506,0.042,0.029,4246.0,5394.0,1.0
economic_coef,0.559,0.117,0.328,0.783,0.002,0.001,5054.0,6045.0,1.0
pressure_coef,-6.129,2.537,-11.002,-1.088,0.037,0.026,4728.0,5447.0,1.0
wind_speed_coef,4.031,0.427,3.213,4.881,0.005,0.004,7238.0,6307.0,1.0
trend_coef,0.031,0.01,0.011,0.049,0.0,0.0,5121.0,5940.0,1.0
tide_power,-0.094,0.109,-0.31,0.115,0.001,0.001,6766.0,6118.0,1.0
sigma,1.928,0.09,1.751,2.102,0.001,0.001,7890.0,6631.0,1.0
