,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.198,0.446,0.356,2.109,0.008,0.005,2754.0,4091.0,1.0
pressure_coef,2.38,0.193,1.999,2.754,0.003,0.002,3935.0,4769.0,1.0
trend_coef,-0.003,0.004,-0.011,0.005,0.0,0.0,3471.0,4834.0,1.0
sigma,1.895,0.087,1.73,2.067,0.001,0.001,5831.0,5568.0,1.0
