,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,8.54,2.678,3.251,13.72,0.038,0.027,4848.0,5717.0,1.0
economic_coef,0.521,0.108,0.31,0.733,0.002,0.001,5067.0,5921.0,1.0
pressure_coef,-3.299,2.507,-8.152,1.621,0.035,0.024,5183.0,6060.0,1.0
tides_coef,-0.0,0.003,-0.007,0.007,0.0,0.0,9161.0,7168.0,1.0
travel_speed_coef,0.007,0.263,-0.49,0.531,0.003,0.003,8673.0,6733.0,1.0
trend_coef,0.034,0.009,0.017,0.053,0.0,0.0,5004.0,5534.0,1.0
ib_coef,2.252,0.205,1.856,2.666,0.002,0.002,6861.0,6410.0,1.0
sigma,1.843,0.087,1.679,2.024,0.001,0.001,9195.0,6111.0,1.0
