ATCF_ID,name,basedamage,ATD,ND,lf_ISO_TIME,lf_wind,lf_pressure,lf_state,WPC,population,lf_lat,lf_lon,Tide_Level,travel_speed_before_landfall_m_s,travel_speed_after_landfall_m_s,travel_speed_at_landfall_m_s,STORM_SPEED,DIST2LAND,STORM_DIR,r34_ne_at_landfall,r34_se_at_landfall,r34_sw_at_landfall,r34_nw_at_landfall,r34_area_at_landfall,r34_mean_at_landfall,r50_ne_at_landfall,r50_se_at_landfall,r50_sw_at_landfall,r50_nw_at_landfall,r50_area_at_landfall,r50_mean_at_landfall,r64_ne_at_landfall,r64_se_at_landfall,r64_sw_at_landfall,r64_nw_at_landfall,r64_area_at_landfall,r64_mean_at_landfall
AL021920,Storm 2 in 1920,1450000,50.03750064780659,1020000000,1920-09-22 01:30:00,85,976.0,LA,2723.63836530902,106395,29.225675000000003,-90.868975,-6.350502421582903,8.589800264777825,8.733606312134398,8.696001543737909,16,9,335, , , , ,,, , , , ,,, , , , ,,
AL061921,Tampa Bay,3000000,82.19725461256132,5660000000,1921-10-25 20:00:00,100,958.0,FL,2224.5391201393195,164068,28.1,-82.8,-23.73099801974153,6.175206655897506,4.113521940154889,5.48797501184238,10,0,55, , , , ,,, , , , ,,, , , , ,,
AL011926,Storm 1 in 1926,3051000,153.34983897481666,7190000000,1926-07-28 06:30:00,90,967.0,FL,2616.761927476852,76032,28.564316666666667,-80.53265,-14.287873825858188,4.339794543628243,4.515295841856199,4.486024902835879,9,0,335, , , , ,,, , , , ,,, , , , ,,
AL031926,Storm 3 in 1926,7000000,257.3448593403224,1750000000,1926-08-25 22:30:00,100,955.0,LA,2616.761927476852,103949,29.136725,-90.8924,4.479192372245104,4.860761667600007,3.9178728249292503,4.618191308094815,7,0,355, , , , ,,, , , , ,,, , , , ,,
AL071926,Great Miami,76000000,3931.367275729192,242750000000,1926-09-18 12:00:00,125,930.0,FL,2616.761927476852,73876,25.6,-80.3,12.218222029495909,7.208794123879011,7.194160957648269,7.201442277417826,15,73,295, , , , ,,, , , , ,,, , , , ,,
AL071926,Great Miami,29000000,622.7956482928042,13200000000,1926-09-20 21:00:00,100,954.9038461538462,AL,2616.761927476852,177946,30.3035,-87.4335,-14.150724235945937,1.1895953928698397,1.7801648294626962,1.3360379930480848,5,0,270, , , , ,,, , , , ,,, , , , ,,
AL041928,Lake Okeechobee,25000000,1799.1048045305663,63830000000,1928-09-17 00:00:00,127,929.0,FL,2717.6393464388543,51132,26.7,-80.0,8.431934470290908,6.333921699490312,6.321331724566621,6.327599768088035,13,69,305, , , , ,,, , , , ,,, , , , ,,
AL011929,Storm 1 in 1929,675000,44.3500487706007,110000000,1929-06-28 21:30:00,80,982.5,TX,2716.651077306816,56024,28.383333333333333,-96.51666666666668,11.302093229876553,8.167744570023624,8.156220403175041,8.15813164382156,14,11,315, , , , ,,, , , , ,,, , , , ,,
AL021929,Storm 2 in 1929,100000,2.980002535237709,170000000,1929-09-28 15:30:00,100,949.0714285714286,FL,2716.651077306816,123523,25.09166666666667,-80.74708333333334,-2.024621045041018,2.687918579179896,2.8365347037858126,2.8018946989562865,6,0,280, , , , ,,, , , , ,,, , , , ,,
AL021929,Storm 2 in 1929,200000,13.97390053109235,220000000,1929-10-01 03:30:00,70,974.7857142857144,FL,2716.651077306816,52684,30.1579,-85.75475,-4.098778169209101,4.310823029015026,3.912106235920981,4.079682637027639,6,9,40, , , , ,,, , , , ,,, , , , ,,
