,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.651,1.138,5.495,9.942,0.017,0.011,4529.0,5606.0,1.0
economic_coef,0.505,0.126,0.256,0.748,0.002,0.001,4258.0,5134.0,1.0
tides_coef,-0.0,0.004,-0.008,0.008,0.0,0.0,9174.0,5979.0,1.0
travel_speed_coef,0.111,0.309,-0.483,0.722,0.003,0.003,8830.0,6683.0,1.0
trend_coef,0.024,0.011,0.003,0.046,0.0,0.0,4820.0,5713.0,1.0
mv_coef[0],1.339,0.273,0.806,1.868,0.004,0.003,4802.0,6374.0,1.0
mv_coef[1],-0.09,0.02,-0.129,-0.05,0.0,0.0,4838.0,6366.0,1.0
sigma,2.185,0.108,1.983,2.406,0.001,0.001,7549.0,6823.0,1.0
