,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.956,0.989,6.005,9.861,0.015,0.009,4631.0,5647.0,1.0
economic_coef,0.551,0.115,0.328,0.78,0.002,0.001,4094.0,5261.0,1.0
travel_speed_coef,0.164,0.277,-0.37,0.713,0.003,0.003,8420.0,6639.0,1.0
trend_coef,0.031,0.01,0.012,0.05,0.0,0.0,4470.0,5848.0,1.0
wind_power,3.931,0.415,3.122,4.766,0.005,0.004,8450.0,7013.0,1.0
pressure_power,-3.715,1.973,-7.526,0.14,0.022,0.02,8379.0,7426.0,1.0
sigma,1.966,0.091,1.792,2.148,0.001,0.001,8307.0,6804.0,1.0
