,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.499,0.721,4.097,6.892,0.01,0.007,5128.0,5682.0,1.0
economic_coef,0.906,0.053,0.802,1.008,0.001,0.001,5003.0,5550.0,1.0
tides_coef,-0.028,0.376,-0.779,0.708,0.004,0.004,8774.0,6324.0,1.0
wind_power_law_coef,4.094,0.405,3.35,4.916,0.005,0.004,7866.0,6603.0,1.0
sigma,2.007,0.092,1.841,2.2,0.001,0.001,8038.0,6977.0,1.0
