,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu,4.778,0.126,4.533,5.023,0.002,0.001,6319.0,5529.0,1.0
sigma,1.79,0.09,1.614,1.966,0.001,0.001,6596.0,5751.0,1.0
