,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.023,0.159,3.712,4.341,0.002,0.002,7178.0,5934.0,1.0
sigma,2.476,0.116,2.26,2.712,0.001,0.001,7235.0,5707.0,1.0
