,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.176,1.066,1.064,5.199,0.016,0.011,4254.0,5683.0,1.0
economic_coef,0.526,0.11,0.308,0.733,0.002,0.001,3820.0,5033.0,1.0
modelled_wind_coef,5.089,0.429,4.259,5.911,0.005,0.004,7877.0,6586.0,1.0
wind_coef_residual,0.04,0.97,-1.885,1.896,0.01,0.01,9218.0,6461.0,1.0
trend_coef,0.033,0.009,0.015,0.052,0.0,0.0,4468.0,5689.0,1.0
water_level_coef,-0.0,0.004,-0.007,0.006,0.0,0.0,8143.0,6569.0,1.0
sigma,1.859,0.087,1.691,2.03,0.001,0.001,7936.0,6181.0,1.0
