,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.877,1.044,1.834,5.955,0.018,0.012,3453.0,4139.0,1.0
economic_coef,-0.18,0.084,-0.347,-0.021,0.001,0.001,3804.0,4283.0,1.0
pressure_coef,1.999,0.267,1.479,2.532,0.004,0.003,5155.0,5279.0,1.0
sigma,1.456,0.11,1.242,1.669,0.001,0.001,5753.0,5784.0,1.0
