,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.872,0.99,2.861,6.746,0.019,0.012,2756.0,3922.0,1.0
economic_coef,-0.453,0.111,-0.667,-0.237,0.002,0.001,2580.0,3682.0,1.0
pressure_coef,2.384,0.185,2.027,2.749,0.002,0.002,5840.0,5510.0,1.0
trend_coef,0.032,0.009,0.014,0.051,0.0,0.0,3109.0,4278.0,1.0
sigma,1.833,0.082,1.669,1.993,0.001,0.001,6684.0,6514.0,1.0
