,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.713,2.82,4.228,15.259,0.045,0.033,3925.0,4573.0,1.0
economic_coef,0.547,0.113,0.315,0.755,0.002,0.001,3946.0,4848.0,1.0
pressure_coef,-5.999,2.545,-10.809,-0.79,0.039,0.029,4352.0,4832.0,1.0
wind_speed_coef,4.141,0.439,3.266,4.98,0.006,0.004,5746.0,6085.0,1.0
trend_coef,0.032,0.01,0.013,0.051,0.0,0.0,4001.0,4744.0,1.0
sigma,1.925,0.088,1.757,2.094,0.001,0.001,7645.0,6501.0,1.0
