,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.597,1.119,1.416,5.816,0.017,0.012,4377.0,5480.0,1.0
economic_coef,0.52,0.116,0.289,0.75,0.002,0.001,3741.0,4980.0,1.0
tides_coef,-0.001,0.004,-0.008,0.007,0.0,0.0,9153.0,6453.0,1.0
wind_speed_coef,4.483,0.428,3.639,5.313,0.005,0.004,7260.0,6686.0,1.0
travel_speed_coef,0.126,0.281,-0.461,0.648,0.003,0.003,9820.0,7094.0,1.0
trend_coef,0.033,0.01,0.014,0.053,0.0,0.0,4233.0,5372.0,1.0
sigma,1.951,0.09,1.778,2.129,0.001,0.001,8547.0,6962.0,1.0
