,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.609,0.545,0.548,2.687,0.009,0.006,3988.0,5021.0,1.0
pressure_coef,2.353,0.195,1.975,2.741,0.003,0.002,5950.0,5805.0,1.0
trend_coef,-0.01,0.008,-0.025,0.005,0.0,0.0,3961.0,4976.0,1.0
temp_anomaly_coef,0.789,0.886,-0.923,2.528,0.013,0.009,4690.0,5208.0,1.0
sigma,1.897,0.087,1.736,2.073,0.001,0.001,6625.0,5926.0,1.0
