,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.971,2.772,4.774,15.617,0.04,0.028,4920.0,5918.0,1.0
economic_coef,0.543,0.114,0.325,0.772,0.001,0.001,5875.0,6740.0,1.0
pressure_coef,-6.184,2.557,-11.124,-1.191,0.035,0.025,5340.0,6271.0,1.0
tides_coef,-0.001,0.004,-0.008,0.007,0.0,0.0,9388.0,7115.0,1.0
wind_speed_coef,4.037,0.446,3.157,4.892,0.005,0.004,7497.0,6907.0,1.0
travel_speed_coef,0.117,0.273,-0.419,0.655,0.003,0.003,7729.0,6973.0,1.0
trend_coef,0.032,0.01,0.012,0.05,0.0,0.0,5857.0,6699.0,1.0
sigma,1.934,0.089,1.763,2.113,0.001,0.001,8641.0,7397.0,1.0
