,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,8.394,2.838,2.983,14.145,0.038,0.029,5519.0,5852.0,1.0
economic_coef,0.524,0.11,0.308,0.741,0.001,0.001,5511.0,5770.0,1.0
pressure_coef,-3.222,2.617,-8.54,1.654,0.034,0.027,6048.0,6017.0,1.0
modelled_wind_coef,0.197,1.968,-3.735,3.99,0.026,0.021,5835.0,5845.0,1.0
wind_coef_residual,-0.463,1.024,-2.495,1.515,0.011,0.01,9338.0,6836.0,1.0
travel_speed_coef,-0.049,0.292,-0.624,0.519,0.003,0.003,8145.0,6873.0,1.0
trend_coef,0.033,0.009,0.015,0.052,0.0,0.0,5522.0,5975.0,1.0
ib_coef,2.173,0.89,0.439,3.902,0.012,0.009,5890.0,6233.0,1.0
sigma,1.842,0.085,1.68,2.012,0.001,0.001,8223.0,7046.0,1.0
