,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.565,2.762,4.343,15.113,0.041,0.028,4511.0,5439.0,1.0
economic_coef,0.545,0.114,0.319,0.77,0.002,0.001,4515.0,5898.0,1.0
pressure_coef,-5.929,2.509,-10.655,-0.951,0.035,0.026,5183.0,6041.0,1.0
tides_coef,-0.001,0.004,-0.008,0.007,0.0,0.0,8590.0,6314.0,1.0
wind_coef,4.156,0.444,3.284,5.018,0.005,0.004,6699.0,6790.0,1.0
travel_speed_coef,0.122,0.273,-0.418,0.661,0.003,0.003,9608.0,6524.0,1.0
trend_coef,0.032,0.01,0.013,0.052,0.0,0.0,4625.0,5931.0,1.0
sigma,1.934,0.089,1.765,2.111,0.001,0.001,9932.0,6654.0,1.0
