,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.229,0.996,3.3,7.225,0.016,0.011,3957.0,4724.0,1.0
economic_coef,-0.489,0.112,-0.714,-0.279,0.002,0.001,3498.0,4125.0,1.0
pressure_coef,1.177,2.123,-3.02,5.335,0.034,0.026,3875.0,4306.0,1.0
trend_coef,0.034,0.01,0.016,0.053,0.0,0.0,3861.0,4918.0,1.0
ib_coef,1.185,2.125,-2.99,5.357,0.034,0.026,3892.0,4406.0,1.0
sigma,1.834,0.084,1.679,2.007,0.001,0.001,6332.0,6161.0,1.0
