,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.089,2.466,4.32,13.931,0.042,0.027,3465.0,4474.0,1.0
economic_coef,0.384,0.174,0.054,0.728,0.003,0.002,3349.0,4157.0,1.0
pressure_coef,2.916,0.296,2.342,3.49,0.003,0.003,8665.0,6565.0,1.0
tides_coef,-0.056,0.552,-1.149,1.031,0.007,0.006,7128.0,6415.0,1.0
trend_coef,0.032,0.018,-0.003,0.07,0.0,0.0,5053.0,5751.0,1.0
sigma,2.025,0.134,1.767,2.286,0.002,0.001,7584.0,5140.0,1.0
