,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,4.985,1.062,2.958,7.121,0.017,0.012,3749.0,5052.0,1.0
economic_coef,0.546,0.11,0.336,0.772,0.002,0.001,3414.0,4458.0,1.0
pressure_coef,2.379,0.199,1.989,2.773,0.002,0.002,6994.0,6119.0,1.0
trend_coef,0.032,0.009,0.014,0.05,0.0,0.0,3949.0,4817.0,1.0
season_sin_coef,0.068,0.47,-0.873,0.977,0.006,0.005,5633.0,6206.0,1.0
season_cos_coef,0.13,0.402,-0.624,0.963,0.005,0.004,6091.0,6708.0,1.0
sigma,1.842,0.084,1.678,2.008,0.001,0.001,6639.0,6570.0,1.0
