,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.992,1.1,1.839,6.157,0.017,0.011,4156.0,5238.0,1.0
economic_coef,0.515,0.114,0.294,0.737,0.002,0.001,3908.0,4583.0,1.0
wind_speed_coef,4.133,0.443,3.26,4.975,0.006,0.005,6250.0,6080.0,1.0
travel_speed_coef,0.11,0.271,-0.426,0.638,0.003,0.003,8736.0,6607.0,1.0
trend_coef,0.033,0.01,0.014,0.053,0.0,0.0,4382.0,5401.0,1.0
pressure_power,-3.726,1.974,-7.558,0.16,0.023,0.019,7465.0,6332.0,1.0
sigma,1.937,0.09,1.763,2.118,0.001,0.001,8275.0,6370.0,1.0
