,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,17.121,0.785,15.627,18.681,0.013,0.009,3655.0,4199.0,1.0
economic_coef,0.032,0.051,-0.067,0.13,0.001,0.001,3945.0,4492.0,1.0
pressure_coef,2.518,0.197,2.135,2.904,0.003,0.002,4766.0,5509.0,1.0
sigma,1.926,0.089,1.753,2.097,0.001,0.001,6831.0,6075.0,1.0
