,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,3.255,1.075,1.063,5.299,0.017,0.011,3916.0,5148.0,1.0
economic_coef,0.536,0.111,0.321,0.748,0.002,0.001,3523.0,4872.0,1.0
tides_coef,0.0,0.004,-0.007,0.007,0.0,0.0,10332.0,7407.0,1.0
modelled_wind_coef,5.151,0.425,4.333,5.979,0.005,0.004,8230.0,7119.0,1.0
wind_coef_residual,-0.335,1.025,-2.323,1.654,0.011,0.01,9061.0,7565.0,1.0
travel_speed_coef,-0.334,0.274,-0.887,0.181,0.003,0.003,8773.0,7425.0,1.0
trend_coef,0.032,0.009,0.014,0.051,0.0,0.0,4056.0,5768.0,1.0
sigma,1.856,0.086,1.692,2.029,0.001,0.001,8585.0,6897.0,1.0
