,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.762,2.82,2.328,13.321,0.045,0.029,3896.0,5260.0,1.0
economic_coef,0.543,0.109,0.33,0.752,0.001,0.001,5371.0,6097.0,1.0
pressure_coef,-4.491,2.557,-9.539,0.413,0.039,0.026,4335.0,5351.0,1.0
modelled_wind_coef,4.789,0.445,3.904,5.654,0.006,0.004,5186.0,6138.0,1.0
wind_coef_residual,0.004,0.988,-1.964,1.916,0.011,0.011,8414.0,6536.0,1.0
trend_coef,0.032,0.009,0.014,0.05,0.0,0.0,5290.0,5862.0,1.0
sigma,1.852,0.085,1.688,2.022,0.001,0.001,9662.0,7141.0,1.0
