,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.27,1.184,6.944,11.59,0.019,0.013,3711.0,4773.0,1.0
economic_coef,0.506,0.138,0.22,0.755,0.002,0.002,3355.0,4238.0,1.0
trend_coef,0.02,0.012,-0.003,0.043,0.0,0.0,3822.0,4663.0,1.0
water_level_coef,0.0,0.004,-0.008,0.009,0.0,0.0,5961.0,5497.0,1.0
sigma,2.386,0.108,2.181,2.598,0.001,0.001,5819.0,5534.0,1.0
