,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.92,4.694,-1.207,17.006,0.07,0.052,4507.0,5140.0,1.0
economic_coef,0.551,0.11,0.346,0.77,0.001,0.001,5801.0,5402.0,1.0
pressure_coef,2.422,0.198,2.044,2.814,0.002,0.002,7286.0,6261.0,1.0
trend_coef,0.033,0.009,0.015,0.051,0.0,0.0,5580.0,4999.0,1.0
coef_mdr_hadisst,-0.119,0.179,-0.485,0.214,0.003,0.002,4505.0,4863.0,1.0
sigma,1.836,0.085,1.675,2.007,0.001,0.001,7927.0,5747.0,1.0
