,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.287,1.18,7.047,11.622,0.024,0.015,2434.0,3621.0,1.0
economic_coef,0.502,0.14,0.243,0.783,0.003,0.002,2165.0,2967.0,1.0
trend_coef,0.02,0.012,-0.003,0.043,0.0,0.0,2354.0,3638.0,1.0
sigma,2.384,0.11,2.177,2.602,0.002,0.001,4273.0,4241.0,1.0
