,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,6.218,2.708,0.983,11.478,0.042,0.031,4122.0,4772.0,1.0
economic_coef,0.873,0.049,0.778,0.971,0.001,0.001,8723.0,6714.0,1.0
pressure_coef,-4.961,2.506,-9.659,0.018,0.037,0.026,4603.0,5639.0,1.0
modelled_wind_coef,4.569,0.448,3.661,5.415,0.006,0.004,5857.0,6388.0,1.0
wind_coef_residual,-0.15,0.983,-2.128,1.761,0.01,0.011,9577.0,6641.0,1.0
sigma,1.884,0.087,1.718,2.059,0.001,0.001,9483.0,6513.0,1.0
