,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,2.391,1.035,0.337,4.362,0.016,0.011,4127.0,5204.0,1.0
economic_coef,-0.388,0.107,-0.6,-0.185,0.002,0.001,3762.0,5546.0,1.0
modelled_wind_coef,5.298,0.417,4.497,6.127,0.005,0.004,7348.0,6451.0,1.0
wind_coef_residual,-0.28,1.007,-2.183,1.74,0.013,0.01,6221.0,6279.0,1.0
travel_speed_coef,-0.316,0.274,-0.853,0.21,0.003,0.003,7333.0,6374.0,1.0
trend_coef,0.028,0.009,0.01,0.046,0.0,0.0,4292.0,6420.0,1.0
sigma,1.851,0.085,1.693,2.021,0.001,0.001,9313.0,6884.0,1.0
