,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.221,0.88,-0.568,2.899,0.014,0.009,4104.0,5851.0,1.0
economic_coef,0.871,0.05,0.774,0.971,0.001,0.001,4894.0,6301.0,1.0
modelled_wind_coef,4.959,0.43,4.088,5.77,0.006,0.004,5252.0,6103.0,1.0
wind_coef_residual,-0.552,1.04,-2.624,1.464,0.012,0.011,7421.0,6344.0,1.0
travel_speed_coef,-0.38,0.282,-0.963,0.142,0.003,0.003,7048.0,6753.0,1.0
sigma,1.886,0.087,1.727,2.067,0.001,0.001,7743.0,6274.0,1.0
