,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.344,0.455,8.423,10.211,0.008,0.005,3152.0,4115.0,1.0
pressure_coef,2.369,0.199,1.99,2.767,0.003,0.002,4236.0,5275.0,1.0
trend_coef,0.073,0.004,0.065,0.082,0.0,0.0,3744.0,5158.0,1.0
sigma,1.929,0.089,1.759,2.105,0.001,0.001,6164.0,5426.0,1.0
