,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-6.619,0.568,-7.707,-5.487,0.01,0.007,3501.0,4006.0,1.0
pressure_coef,2.287,0.247,1.809,2.782,0.004,0.003,4372.0,4169.0,1.0
trend_coef,-0.081,0.005,-0.092,-0.071,0.0,0.0,4302.0,4721.0,1.0
sigma,2.412,0.112,2.194,2.629,0.001,0.001,5805.0,5174.0,1.0
