,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,26.61,4.231,18.231,34.732,0.082,0.059,2640.0,3019.0,1.0
pressure_coef,-0.009,0.004,-0.018,-0.001,0.0,0.0,2649.0,3053.0,1.0
sigma,2.961,0.139,2.691,3.226,0.002,0.002,3206.0,3426.0,1.0
