,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.247,0.98,3.203,7.081,0.016,0.011,3640.0,4403.0,1.0
economic_coef,-0.49,0.108,-0.697,-0.272,0.002,0.001,3300.0,4056.0,1.0
trend_coef,0.034,0.009,0.016,0.053,0.0,0.0,3666.0,4583.0,1.0
ib_coef,2.358,0.186,2.004,2.74,0.002,0.002,5924.0,5851.0,1.0
sigma,1.833,0.084,1.676,2.002,0.001,0.001,6382.0,6018.0,1.0
