,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,7.811,0.826,6.188,9.431,0.012,0.009,4871.0,5320.0,1.0
economic_coef,0.713,0.06,0.592,0.827,0.001,0.001,4924.0,5064.0,1.0
travel_speed_coef,0.07,0.338,-0.569,0.738,0.004,0.004,6990.0,5967.0,1.0
sigma,2.39,0.11,2.173,2.603,0.001,0.001,7161.0,5874.0,1.0
