,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,2.549,0.754,1.065,4.026,0.013,0.009,3539.0,4510.0,1.0
economic_coef,0.89,0.048,0.793,0.984,0.001,0.001,3832.0,4675.0,1.0
pressure_coef,2.323,0.188,1.946,2.684,0.003,0.002,5244.0,5427.0,1.0
sigma,1.875,0.087,1.706,2.048,0.001,0.001,6461.0,5549.0,1.0
