,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,2.991,0.76,1.473,4.47,0.013,0.009,3599.0,4366.0,1.0
economic_coef,0.864,0.049,0.767,0.957,0.001,0.001,3980.0,4351.0,1.0
ib_coef,2.26,0.19,1.892,2.642,0.003,0.002,5352.0,4836.0,1.0
sigma,1.873,0.085,1.715,2.042,0.001,0.001,6312.0,5826.0,1.0
