,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.726,1.079,3.658,7.845,0.017,0.011,4130.0,5959.0,1.0
economic_coef,0.509,0.108,0.302,0.724,0.002,0.001,3963.0,5137.0,1.0
pressure_coef,2.387,0.191,2.021,2.771,0.002,0.002,9139.0,7047.0,1.0
trend_coef,0.028,0.011,0.006,0.049,0.0,0.0,4672.0,6254.0,1.0
temp_anomaly_coef,0.885,0.858,-0.78,2.565,0.01,0.008,7036.0,6590.0,1.0
season_sin_coef,0.165,0.385,-0.592,0.917,0.004,0.004,8774.0,6825.0,1.0
season_cos_coef,0.052,3.035,-5.701,6.159,0.031,0.032,9802.0,6628.0,1.0
sigma,1.84,0.085,1.687,2.014,0.001,0.001,8820.0,6433.0,1.0
