,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-21.309,1.119,-23.484,-19.115,0.019,0.012,3644.0,5066.0,1.0
economic_coef,0.425,0.114,0.2,0.645,0.002,0.001,3358.0,4633.0,1.0
wind_coef,4.394,0.428,3.521,5.203,0.006,0.005,5807.0,5970.0,1.0
trend_coef,0.04,0.01,0.021,0.06,0.0,0.0,3762.0,5036.0,1.0
sigma,1.991,0.096,1.814,2.186,0.001,0.001,7672.0,6045.0,1.0
upper,189344189385.752,82816186550.532,125961543168.522,316668540017.25,1051170938.845,5100430886.124,7284.0,5918.0,1.0
