,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.536,2.743,4.431,15.106,0.041,0.027,4413.0,5406.0,1.0
economic_coef,0.544,0.115,0.323,0.779,0.002,0.001,4856.0,5750.0,1.0
pressure_coef,-5.882,2.511,-10.814,-0.956,0.036,0.025,4893.0,5724.0,1.0
tides_coef,-0.001,0.004,-0.008,0.006,0.0,0.0,8545.0,6806.0,1.0
wind_speed_coef,4.15,0.449,3.276,5.053,0.005,0.004,7673.0,6493.0,1.0
travel_speed_coef,0.119,0.276,-0.398,0.673,0.003,0.003,9687.0,7114.0,1.0
trend_coef,0.032,0.01,0.013,0.052,0.0,0.0,4865.0,5642.0,1.0
sigma,1.935,0.09,1.764,2.111,0.001,0.001,10249.0,6726.0,1.0
