,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.881,2.867,-6.523,4.639,0.045,0.031,3993.0,5164.0,1.0
economic_coef,0.863,0.053,0.759,0.965,0.001,0.001,6292.0,5489.0,1.0
pressure_coef,2.257,0.191,1.896,2.649,0.002,0.002,6656.0,6236.0,1.0
coef_mdr_icoads,0.146,0.117,-0.086,0.37,0.002,0.001,3751.0,4994.0,1.0
sigma,1.87,0.087,1.703,2.039,0.001,0.001,7003.0,6220.0,1.0
