,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.269,1.301,2.778,7.874,0.019,0.012,4812.0,6090.0,1.0
economic_coef,0.51,0.11,0.301,0.729,0.002,0.001,5210.0,6025.0,1.0
tides_coef,-0.0,0.003,-0.007,0.006,0.0,0.0,8571.0,6558.0,1.0
modelled_wind_coef,0.036,1.977,-3.849,3.849,0.028,0.022,5029.0,5622.0,1.0
wind_coef_residual,-0.488,1.02,-2.544,1.496,0.011,0.01,8772.0,6692.0,1.0
travel_speed_coef,-0.04,0.299,-0.608,0.563,0.004,0.003,7126.0,6975.0,1.0
trend_coef,0.034,0.009,0.015,0.052,0.0,0.0,5522.0,6392.0,1.0
ib_coef,2.342,0.883,0.617,4.082,0.012,0.01,5137.0,5946.0,1.0
sigma,1.848,0.087,1.689,2.023,0.001,0.001,10040.0,6676.0,1.0
