,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.214,2.929,-0.272,11.129,0.049,0.035,3542.0,4496.0,1.0
economic_coef_pop,0.547,0.11,0.322,0.752,0.001,0.001,7621.0,6408.0,1.0
economic_coef_wpc,0.492,0.464,-0.453,1.358,0.008,0.006,3507.0,4431.0,1.0
pressure_coef,2.379,0.19,2.005,2.752,0.002,0.002,6619.0,5292.0,1.0
trend_coef,0.035,0.025,-0.014,0.085,0.0,0.0,3509.0,4419.0,1.0
sigma,1.839,0.084,1.68,2.008,0.001,0.001,6465.0,5702.0,1.0
