,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.276,0.953,3.46,7.158,0.015,0.01,3975.0,4827.0,1.0
economic_coef,0.506,0.106,0.298,0.711,0.002,0.001,3645.0,4097.0,1.0
pressure_coef,2.358,0.187,1.991,2.72,0.003,0.002,5455.0,5913.0,1.0
trend_coef,0.034,0.009,0.016,0.053,0.0,0.0,4126.0,4912.0,1.0
sigma,1.835,0.084,1.673,2.001,0.001,0.001,5746.0,5885.0,1.0
