,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,15.39,1.002,13.447,17.35,0.02,0.011,2488.0,4158.0,1.0
economic_coef,0.301,0.112,0.079,0.511,0.002,0.001,2318.0,3647.0,1.0
pressure_coef,2.449,0.194,2.072,2.832,0.003,0.002,5418.0,5062.0,1.0
trend_coef,-0.026,0.01,-0.045,-0.007,0.0,0.0,2884.0,4358.0,1.0
sigma,1.901,0.088,1.729,2.075,0.001,0.001,6322.0,5222.0,1.0
