,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,15.595,0.399,14.793,16.365,0.007,0.005,3659.0,4848.0,1.0
pressure_coef,1.441,0.278,0.894,1.977,0.005,0.003,3605.0,4626.0,1.0
sigma,2.869,0.13,2.625,3.128,0.002,0.001,5489.0,5440.0,1.0
