,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,5.493,1.109,3.332,7.709,0.018,0.011,3908.0,5419.0,1.0
economic_coef,0.509,0.109,0.302,0.724,0.002,0.001,3957.0,5296.0,1.0
tides_coef,-0.0,0.004,-0.008,0.006,0.0,0.0,8695.0,6979.0,1.0
wind_coef,-0.454,0.976,-2.331,1.457,0.015,0.011,4201.0,5131.0,1.0
travel_speed_coef,-0.012,0.264,-0.531,0.5,0.003,0.003,7735.0,7100.0,1.0
trend_coef,0.034,0.009,0.016,0.052,0.0,0.0,4819.0,5935.0,1.0
ib_coef,2.55,0.457,1.688,3.464,0.007,0.005,4450.0,5459.0,1.0
sigma,1.847,0.085,1.697,2.029,0.001,0.001,9126.0,7716.0,1.0
