,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,11.047,5.83,-0.198,22.485,0.089,0.064,4261.0,5211.0,1.0
economic_coef,0.552,0.108,0.343,0.767,0.002,0.001,4857.0,5778.0,1.0
pressure_coef,2.431,0.193,2.046,2.806,0.002,0.002,6166.0,6095.0,1.0
trend_coef,0.033,0.009,0.015,0.052,0.0,0.0,4760.0,5689.0,1.0
coef_gc_hadisst,-0.222,0.207,-0.63,0.174,0.003,0.002,4318.0,5279.0,1.0
sigma,1.835,0.084,1.677,2.003,0.001,0.001,7585.0,6012.0,1.0
