,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.073,0.873,-0.622,2.767,0.014,0.009,3666.0,5348.0,1.0
economic_coef,0.867,0.05,0.768,0.962,0.001,0.0,4364.0,5732.0,1.0
modelled_wind_coef,4.891,0.419,4.06,5.689,0.006,0.004,5367.0,6172.0,1.0
wind_coef_residual,-0.141,0.991,-2.149,1.747,0.012,0.01,7309.0,6435.0,1.0
sigma,1.888,0.088,1.715,2.059,0.001,0.001,6903.0,5771.0,1.0
