,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
economic_pressure_wind_trend_tide_power_law,0,-504.7562251890538,6.337090709983158,0.0,0.8387491631569495,12.329938123549066,0.0,False,log
economic_wind_travel_speed_trend_pressure_power_law,1,-506.1412965279993,6.385279237075849,1.3850713389455578,0.0,12.256382187559364,1.002404210740129,False,log
full,2,-506.30261349619684,7.564264797116834,1.5463883071430988,0.0,12.37633604132672,0.9706485041397552,False,log
economic_pressure_wind_travel_speed,3,-508.7396817602241,5.301019372283008,3.9834565711703114,0.1612508368430521,11.994960934795325,3.4627124134380476,False,log
economic_travel_speed_trend_pressure_power_law_wind_power_law,4,-509.9820592669635,6.950421755880143,5.225834077909791,6.956922363669591e-16,12.390877443916452,2.4749421719074176,False,log
economic_pressure_tides_travel_speed_trend_wind_power_law,5,-510.3563580786448,7.959667278425343,5.600132889591029,0.0,12.456864758350624,2.409319291325508,False,log
