,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
economic_tides_pca_travel_speed_trend,0,-495.80444590594766,9.024941030928005,0.0,0.906675325621089,14.436818327278646,0.0,False,log
economic_tides_modelled_wind_travel_speed_trend,1,-497.52048600544003,9.412741434424333,1.7160400994922878,8.378865578176584e-14,14.621314514665931,2.32758784210238,False,log
economic_pressure_tides_wind_travel_speed_trend,2,-506.29138248492313,7.609644431334743,10.486936578975424,1.0648023186928408e-13,12.41267878891682,5.471766602270869,False,log
economic_tides_multi_variate_travel_speed_trend,3,-534.9562998205058,5.858825312452154,39.151853914558046,0.09332467437872072,11.15470778079581,9.889379475670793,False,log
