,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,9.157,0.447,8.288,10.017,0.007,0.005,3621.0,4604.0,1.0
pressure_coef,2.425,0.194,2.031,2.788,0.003,0.002,4489.0,5504.0,1.0
trend_coef,0.075,0.004,0.067,0.083,0.0,0.0,4379.0,5231.0,1.0
sigma,1.928,0.089,1.751,2.097,0.001,0.001,5919.0,5445.0,1.0
